#pid	conf	gene_ids	eids	pathfinders	sif_edges
p21	0.916000	YFR028C|YPL248C|HOG1ID47|YGL099W|CDC14RD31	edge14980|edge19310|edge16910|edge26215	paths	YFR028C u YPL248C|YPL248C d HOG1ID47|HOG1ID47 d YGL099W|YGL099W d CDC14RD31
p22	0.914000	YFR028C|YDL220C|CDC14RD31|YLR096W|CDC14RD30	edge20074|edge6703|edge18898|edge12172	paths	YFR028C u YDL220C|YDL220C d CDC14RD31|CDC14RD31 d YLR096W|YLR096W d CDC14RD30
p23	0.931000	YFR028C|YKL009W|YPL093W|CDC14RD31	edge3970|edge26126|edge4822	paths	YFR028C u YKL009W|YKL009W u YPL093W|YPL093W d CDC14RD31
p24	0.648000	YFR028C|YDR388W|YBL045C|CDC14RD30	edge21428|edge6621|edge24302	paths	YFR028C d YDR388W|YDR388W u YBL045C|YBL045C d CDC14RD30
p25	0.915000	YLR113W|NPI1|YJR059W|YJL098W|HOG1ID42	edge15950|edge784|edge23052|edge14685	paths	YLR113W d NPI1|NPI1 d YJR059W|YJR059W d YJL098W|YJL098W d HOG1ID42
p26	0.728000	YLR113W|YOL135C|YML091C|HOG1ID49	edge9964|edge24445|edge9374	paths	YLR113W u YOL135C|YOL135C u YML091C|YML091C d HOG1ID49
p27	0.909000	YLR113W|YMR153W|YDR192C|HOG1ID46	edge1930|edge23807|edge3994	paths	YLR113W u YMR153W|YMR153W u YDR192C|YDR192C d HOG1ID46
p28	0.904000	YFR028C|YPL235W|YHR099W|CDC14ID25	edge6211|edge20019|edge23193	paths	YFR028C u YPL235W|YPL235W u YHR099W|YHR099W d CDC14ID25
p29	0.904000	YFR028C|YPL235W|YHR099W|CDC14ID26	edge6211|edge20019|edge18683	paths	YFR028C u YPL235W|YPL235W u YHR099W|YHR099W d CDC14ID26
p30	0.905000	YFR028C|HOG1ID46|YDL117W|NPR12|YBR130C|CDC14ID19	edge21680|edge9120|edge26073|edge973|edge5371	paths	YFR028C d HOG1ID46|HOG1ID46 d YDL117W|YDL117W d NPR12|NPR12 d YBR130C|YBR130C d CDC14ID19
p31	0.908000	YLR113W|YNL271C|YJL098W|HOG1ID42	edge20835|edge13423|edge14685	paths	YLR113W u YNL271C|YNL271C u YJL098W|YJL098W d HOG1ID42
p32	0.587000	YLR113W|YDL115C|YER153C|HOG1ID46	edge8728|edge898|edge5508	paths	YLR113W u YDL115C|YDL115C u YER153C|YER153C d HOG1ID46
p33	0.000000	YFR028C|YOR036W|YDR099W|CDC14RD39	edge23273|edge26423|edge6867	paths	YFR028C u YOR036W|YOR036W u YDR099W|YDR099W d CDC14RD39
p34	0.904000	YFR028C|CDC14ID21|YER165W|YML031W|CDC14RD30	edge1387|edge26699|edge8151|edge17619	paths	YFR028C d CDC14ID21|CDC14ID21 d YER165W|YER165W u YML031W|YML031W d CDC14RD30
p35	0.901000	YLR113W|YDR510W|YPL082C|HOG1RD50	edge7647|edge23090|edge1534	paths	YLR113W u YDR510W|YDR510W u YPL082C|YPL082C d HOG1RD50
p36	0.917000	YFR028C|YKL009W|YBL041W|CDC14RD31	edge3970|edge26343|edge2702	paths	YFR028C u YKL009W|YKL009W u YBL041W|YBL041W d CDC14RD31
p37	0.915000	YLR113W|NPI1|YJR059W|YPR115W|HOG1ID46	edge15950|edge784|edge15727|edge14628	paths	YLR113W d NPI1|NPI1 d YJR059W|YJR059W u YPR115W|YPR115W d HOG1ID46
p38	0.905000	YLR113W|NPI1|YJR059W|YLR025W|HOG1ID42	edge15950|edge784|edge23591|edge7670	paths	YLR113W d NPI1|NPI1 d YJR059W|YJR059W d YLR025W|YLR025W d HOG1ID42
p39	0.907000	YLR113W|NPI1|YBR059C|YER153C|HOG1ID46	edge15950|edge22980|edge6951|edge5508	paths	YLR113W d NPI1|NPI1 d YBR059C|YBR059C d YER153C|YER153C d HOG1ID46
p40	0.919000	YFR028C|YGL048C|CDC14RD35|YJL076W|CDC14RD30	edge23852|edge8778|edge16408|edge746	paths	YFR028C d YGL048C|YGL048C d CDC14RD35|CDC14RD35 d YJL076W|YJL076W d CDC14RD30
p41	0.909000	YLR113W|NPI1|YBR059C|YBL047C|HOG1ID42	edge15950|edge22980|edge13048|edge7346	paths	YLR113W d NPI1|NPI1 d YBR059C|YBR059C d YBL047C|YBL047C d HOG1ID42
p42	0.937000	YFR028C|YKL009W|YPR080W|CDC14RD31	edge3970|edge21651|edge23631	paths	YFR028C u YKL009W|YKL009W u YPR080W|YPR080W d CDC14RD31
p43	0.750000	YLR113W|YAL032C|YNL255C|HOG1IA45	edge13493|edge9139|edge4357	paths	YLR113W u YAL032C|YAL032C u YNL255C|YNL255C d HOG1IA45
p44	0.886000	YFR028C|YIL144W|YBR274W|CDC14RD31	edge20311|edge4660|edge10928	paths	YFR028C d YIL144W|YIL144W u YBR274W|YBR274W d CDC14RD31
p45	0.884000	YFR028C|YIL144W|YDR099W|CDC14RD39	edge20311|edge23589|edge6867	paths	YFR028C d YIL144W|YIL144W u YDR099W|YDR099W d CDC14RD39
p46	0.902000	YLR113W|NPI1|YJR059W|YMR127C|HOG1IA45	edge15950|edge784|edge21153|edge16643	paths	YLR113W d NPI1|NPI1 d YJR059W|YJR059W d YMR127C|YMR127C d HOG1IA45
p47	0.906000	YFR028C|YGL048C|YGR040W|CDC14ID21	edge23852|edge9967|edge16453	paths	YFR028C d YGL048C|YGL048C u YGR040W|YGR040W d CDC14ID21
p48	0.902000	YLR113W|YHR154W|YOR257W|HOG1ID42	edge7685|edge4063|edge9632	paths	YLR113W d YHR154W|YHR154W u YOR257W|YOR257W d HOG1ID42
