#pid	gene_ids	eids	pathfinders	sif_edges
p76	YLR113W|YBR010W|YMR190C|HOG1ID49	edge1888|edge26563|edge15048	paths	YLR113W d YBR010W|YBR010W u YMR190C|YMR190C d HOG1ID49
p77	YFR028C|YIL115C|YLL039C|CDC14RD31	edge7892|edge11462|edge18100	paths	YFR028C u YIL115C|YIL115C u YLL039C|YLL039C d CDC14RD31
p78	YFR028C|NPI1|YDL173W|YGL120C|CDC14ID21	edge18360|edge20691|edge21621|edge20068	paths	YFR028C d NPI1|NPI1 d YDL173W|YDL173W u YGL120C|YGL120C d CDC14ID21
p79	YFR028C|YER168C|YBR009C|CDC14RD31	edge17759|edge12670|edge11716	paths	YFR028C d YER168C|YER168C u YBR009C|YBR009C d CDC14RD31
p80	YFR028C|YPL248C|YDL140C|CDC14RA40	edge14820|edge10148|edge15640	paths	YFR028C u YPL248C|YPL248C u YDL140C|YDL140C d CDC14RA40
p81	YLR113W|YOR151C|YGL158W|HOG1ID47	edge14633|edge19953|edge26590	paths	YLR113W u YOR151C|YOR151C u YGL158W|YGL158W d HOG1ID47
p82	YFR028C|YPL031C|YLR096W|CDC14RA40	edge3887|edge21223|edge26115	paths	YFR028C u YPL031C|YPL031C d YLR096W|YLR096W d CDC14RA40
p83	YFR028C|NPI1|YJR059W|YHR186C|CDC14RD36	edge18360|edge772|edge19888|edge14318	paths	YFR028C d NPI1|NPI1 d YJR059W|YJR059W d YHR186C|YHR186C d CDC14RD36
p84	YFR028C|YOR340C|YBL016W|CDC14ID19	edge6987|edge14708|edge15533	paths	YFR028C u YOR340C|YOR340C u YBL016W|YBL016W d CDC14ID19
p85	YFR028C|YOL051W|YBR009C|CDC14RD31	edge13551|edge5241|edge11716	paths	YFR028C u YOL051W|YOL051W u YBR009C|YBR009C d CDC14RD31
p86	YFR028C|YGL120C|YBR009C|CDC14RD31	edge23739|edge1769|edge11716	paths	YFR028C u YGL120C|YGL120C u YBR009C|YBR009C d CDC14RD31
p87	YLR113W|YHR200W|YKL168C|HOG1ID42	edge23022|edge4431|edge16208	paths	YLR113W u YHR200W|YHR200W u YKL168C|YKL168C d HOG1ID42
p88	YLR113W|YMR049C|YDR247W|HOG1ID49	edge15106|edge18078|edge18569	paths	YLR113W u YMR049C|YMR049C u YDR247W|YDR247W d HOG1ID49
p89	YFR028C|NPI1|YJR059W|YMR047C|CDC14RD35	edge18360|edge772|edge6293|edge20660	paths	YFR028C d NPI1|NPI1 d YJR059W|YJR059W d YMR047C|YMR047C d CDC14RD35
p90	YLR113W|YBR010W|YER148W|HOG1ID42	edge1888|edge15025|edge4133	paths	YLR113W d YBR010W|YBR010W u YER148W|YER148W d HOG1ID42
p91	YFR028C|YPL031C|NPI1|YER165W|CDC14ID21	edge3887|edge11410|edge702|edge9211	paths	YFR028C u YPL031C|YPL031C d NPI1|NPI1 d YER165W|YER165W d CDC14ID21
p92	YFR028C|YPL031C|YOR259C|CDC14ID25	edge3887|edge17186|edge10742	paths	YFR028C u YPL031C|YPL031C d YOR259C|YOR259C d CDC14ID25
p93	YFR028C|YMR047C|CDC14RD35	edge4494|edge20660	paths	YFR028C u YMR047C|YMR047C d CDC14RD35
p94	YFR028C|YPL031C|YOR259C|CDC14ID26	edge3887|edge17186|edge8168	paths	YFR028C u YPL031C|YPL031C d YOR259C|YOR259C d CDC14ID26
p95	YFR028C|YGR092W|YBR109C|CDC14RD31	edge25293|edge16512|edge504	paths	YFR028C d YGR092W|YGR092W d YBR109C|YBR109C d CDC14RD31
p96	YFR028C|YOL115W|YDL140C|CDC14RA40	edge14357|edge11464|edge15640	paths	YFR028C u YOL115W|YOL115W u YDL140C|YDL140C d CDC14RA40
p97	YFR028C|YPL031C|YGR092W|CDC14RA40	edge3887|edge1354|edge17994	paths	YFR028C u YPL031C|YPL031C d YGR092W|YGR092W d CDC14RA40
p98	YFR028C|YFL013C|NPR8|YNL298W|CDC14ID21	edge24305|edge556|edge18665|edge18002	paths	YFR028C d YFL013C|YFL013C d NPR8|NPR8 d YNL298W|YNL298W d CDC14ID21
p99	YFR028C|YPL126W|YER165W|CDC14ID21	edge10383|edge22571|edge9211	paths	YFR028C u YPL126W|YPL126W u YER165W|YER165W d CDC14ID21
