#tail	head	edge_flux
YPR190C	YNR003C	3.87870e-06
YPR190C	YFR031C	3.87870e-06
YPR190C	YDL150W	3.87870e-06
YPR190C	YDR005C	3.87870e-06
YPR190C	YOR207C	3.87870e-06
YBL061C	YNL233W	3.87846e-06
YBL061C	Repressed_...R.s......_No_Phenotype_Exists	3.87846e-06
YBL061C	YBR023C	3.87846e-06
YFL004W	YER072W	3.87661e-06
YFL004W	YBR109C	3.87661e-06
YMR229C	YLR424W	3.87621e-06
YMR229C	YOR310C	3.87621e-06
YMR229C	YPL012W	3.87621e-06
YMR229C	YOL077C	3.87621e-06
YMR229C	YKL021C	3.87621e-06
YMR229C	YKL172W	3.87621e-06
YMR229C	YNR054C	3.87621e-06
YMR229C	YJL010C	3.87621e-06
YMR229C	YLL019C	3.87621e-06
YMR229C	YJR002W	3.87621e-06
YMR229C	YOR206W	3.87621e-06
YMR229C	YIR026C	3.87621e-06
YMR229C	YOR341W	3.87621e-06
YMR229C	YDR087C	3.87621e-06
YMR229C	YDR060W	3.87621e-06
YMR229C	YOR340C	3.87621e-06
YMR229C	YMR290C	3.87621e-06
YMR229C	YKL198C	3.87621e-06
YMR229C	YNR024W	3.87621e-06
YMR229C	YNL124W	3.87621e-06
YMR229C	YKL014C	3.87621e-06
YMR229C	YPL043W	3.87621e-06
YMR229C	YML111W	3.87621e-06
YMR229C	YGR251W	3.87621e-06
YMR229C	YGL120C	3.87621e-06
YOR163W	YLR410W	3.87612e-06
YOR163W	Repressed_..RK.s......_No_Phenotype_Exists	3.87612e-06
YOR163W	YDR017C	3.87612e-06
YOR163W	YDR315C	3.87612e-06
YDL013W	YDL064W	3.85996e-06
YDL013W	YHR156C	3.85996e-06
YDL013W	YCR039C	3.85996e-06
YDL013W	YER116C	3.85996e-06
YDL013W	YDL042C	3.85996e-06
YDL013W	YDR510W	3.85996e-06
YDL013W	YDR397C	3.85996e-06
YDL013W	YBR082C	3.85996e-06
YDL013W	YHR134W	3.85996e-06
YDL013W	YOR144C	3.85996e-06
YDL013W	YJL092W	3.85996e-06
YDL013W	YML032C	3.85996e-06
YDL013W	YPL082C	3.85996e-06
YDL013W	YGR140W	3.85996e-06
YML088W	YFR004W	3.85925e-06
YML088W	YLL024C	3.85925e-06
YML088W	YOR151C	3.85925e-06
YML088W	YER143W	3.85925e-06
YML088W	YPL231W	3.85925e-06
YML088W	YML010W	3.85925e-06
YML088W	YER054C	3.85925e-06
YML088W	YFR052W	3.85925e-06
YML088W	YHR200W	3.85925e-06
YML088W	YDL140C	3.85925e-06
YML088W	YHR027C	3.85925e-06
YML088W	YAL005C	3.85925e-06
YML088W	YLL039C	3.85925e-06
YML088W	YDL132W	3.85925e-06
YML088W	YBR031W	3.85925e-06
YML088W	YOL133W	3.85925e-06
YML088W	YBR020W	3.85925e-06
YML088W	YDR328C	3.85925e-06
YML088W	YDL227C	3.85925e-06
YFL013C	YPR133C	3.85836e-06
YFL013C	YOR123C	3.85836e-06
YFL013C	YOR189W	3.85836e-06
YFL013C	YAR007C	3.85836e-06
YFL013C	YLR399C	3.85836e-06
YFL013C	YDR097C	3.85836e-06
YFL013C	YDR121W	3.85836e-06
YFL013C	YJL081C	3.85836e-06
YFL013C	YLL036C	3.85836e-06
YFL013C	YDR225W	3.85836e-06
YFL013C	YDL002C	3.85836e-06
YFL013C	YGL150C	3.85836e-06
YDL174C	YBL030C	3.85786e-06
YJR103W	YPL204W	3.85705e-06
YGR010W	YOL068C	3.85127e-06
YGR010W	YOR209C	3.85127e-06
YGR010W	YDL042C	3.85127e-06
YGR010W	YDR191W	3.85127e-06
YGR010W	YHR074W	3.85127e-06
YGR010W	YOR025W	3.85127e-06
YGR010W	YLR328W	3.85127e-06
YGR010W	YPL015C	3.85127e-06
YGR010W	YDR227W	3.85127e-06
YGR040W	YGL245W	3.85055e-06
YGR040W	YFL023W	3.85055e-06
YGR040W	YJR070C	3.85055e-06
YGR040W	YIL038C	3.85055e-06
YGR040W	YPL115C	3.85055e-06
YGR040W	YGL105W	3.85055e-06
YGR040W	YDL159W	3.85055e-06
YGR040W	YDR168W	3.85055e-06
YGR040W	YPR035W	3.85055e-06
YGR040W	YNL288W	3.85055e-06
YGR040W	YHL021C	3.85055e-06
YGR040W	YGL209W	3.85055e-06
YGR040W	YLR316C	3.85055e-06
YGR040W	YOR003W	3.85055e-06
YGR040W	YPR091C	3.85055e-06
YGR040W	YHR084W	3.85055e-06
YGR040W	YAL028W	3.85055e-06
YGR040W	YLL008W	3.85055e-06
YGR040W	YNL272C	3.85055e-06
YGR040W	YGL035C	3.85055e-06
YGR040W	YNL054WA	3.85055e-06
YGR040W	YBR162C	3.85055e-06
YGR040W	YHR001W	3.85055e-06
YGR040W	YOL070C	3.85055e-06
YGR040W	YDL070W	3.85055e-06
YGR040W	YDR256C	3.85055e-06
YGR040W	YFL048C	3.85055e-06
YGR040W	YLR324W	3.85055e-06
YGR040W	YJL089W	3.85055e-06
YGR040W	YML048W	3.85055e-06
YGR040W	YER098W	3.85055e-06
YGR040W	YGR013W	3.85055e-06
YGR040W	YPL048W	3.85055e-06
YGR040W	YKL142W	3.85055e-06
YGR040W	YNR006W	3.85055e-06
YGR040W	YHR216W	3.85055e-06
YGR040W	YOR245C	3.85055e-06
YGR040W	YDL006W	3.85055e-06
YGR040W	YGR180C	3.85055e-06
YGR040W	YER167W	3.85055e-06
YGR040W	YDL230W	3.85055e-06
YGR040W	YGL061C	3.85055e-06
YGR040W	YGR078C	3.85055e-06
YGR040W	YLR307W	3.85055e-06
YGR040W	YMR241W	3.85055e-06
YGR040W	YJR142W	3.85055e-06
YGR040W	YNL077W	3.85055e-06
YGR040W	YIL036W	3.85055e-06
YGR040W	YPR115W	3.85055e-06
YGR040W	YIL070C	3.85055e-06
YGR040W	YJR069C	3.85055e-06
YGR040W	YIL130W	3.85055e-06
YGR040W	YGR097W	3.85055e-06
YGR040W	YKR048C	3.85055e-06
YGR040W	YNL053W	3.85055e-06
YGR040W	YFL011W	3.85055e-06
YGR040W	YNL186W	3.85055e-06
YGR040W	YDR103W	3.85055e-06
YGR040W	YGR034W	3.85055e-06
YGR040W	YBL007C	3.85055e-06
YGR040W	YPL233W	3.85055e-06
YGR040W	YLR362W	3.85055e-06
YGR040W	YJR105W	3.85055e-06
YGR040W	YDL198C	3.85055e-06
YGR040W	YFL028C	3.85055e-06
YGR040W	YDL178W	3.85055e-06
YGR040W	YGR116W	3.85055e-06
YGR040W	YMR041C	3.85055e-06
YGR040W	YLR452C	3.85055e-06
YGR040W	YBL055C	3.85055e-06
YGR040W	YBL023C	3.85055e-06
YGR040W	YDL128W	3.85055e-06
YGR040W	YBL024W	3.85055e-06
YGR040W	YPL049C	3.85055e-06
YGR040W	YDL153C	3.85055e-06
YGR040W	YBR272C	3.85055e-06
YGR040W	YCL047C	3.85055e-06
YGR040W	YPR137CA	3.85055e-06
YGR040W	YCL043C	3.85055e-06
YGR040W	YPR072W	3.85055e-06
YGR040W	YLR310C	3.85055e-06
YGR040W	YFR038W	3.85055e-06
YGR040W	YDR034CC	3.85055e-06
YGR040W	YER093C	3.85055e-06
YGR040W	YLL022C	3.85055e-06
YGR040W	YBR083W	3.85055e-06
YGR040W	YMR229C	3.85055e-06
YGR040W	YER020W	3.85055e-06
YGR040W	YJR108W	3.85055e-06
YGR040W	YGL136C	3.85055e-06
YGR040W	YGL178W	3.85055e-06
YGR040W	YGR276C	3.85055e-06
YGR040W	YGR016W	3.85055e-06
YGR040W	YFR028C	3.85055e-06
YGR040W	YDR480W	3.85055e-06
YGR040W	YNL117W	3.85055e-06
YGR040W	YER148W	3.85055e-06
YGR040W	YDR312W	3.85055e-06
YGR040W	YKL161C	3.85055e-06
YGR040W	YNR033W	3.85055e-06
YGR040W	YMR239C	3.85055e-06
YDR028C	Induced_.....sP....._No_Phenotype_Exists	3.84916e-06
YDR028C	YOR018W	3.84916e-06
YDR028C	YGR252W	3.84916e-06
YDR028C	YHR005C	3.84916e-06
YDR028C	YLR377C	3.84916e-06
YDR028C	YJR090C	3.84916e-06
YDR028C	YOR267C	3.84916e-06
YDR028C	YDL229W	3.84916e-06
YDR028C	YER133W	3.84916e-06
YDR028C	YDR477W	3.84916e-06
YDR028C	YNL209W	3.84916e-06
YDR028C	YER177W	3.84916e-06
YDR028C	YDR099W	3.84916e-06
