edge	sources	pmids
YJL036W (u) YGL198W	vollertcs2004	15263065
YGL198W (u) YKR014C	losy2011|calerom2002	11943201|22157956
YKR014C (u) YGL198W	losy2011|calerom2002	11943201|22157956
YGL198W (u) YLR262C	calerom2002	11943201
YLR262C (u) YGL198W	calerom2002	11943201
YGL198W (u) YML001W	calerom2002	11943201
YML001W (u) YGL198W	calerom2002	11943201
YGL198W (u) YNL263C	calerom2002	11943201
YNL263C (u) YGL198W	calerom2002	11943201
YGL198W (u) YNL304W	calerom2002	11943201
YNL304W (u) YGL198W	calerom2002	11943201
YGL198W (u) YOR132W	vollertcs2004	15263065
YOR132W (u) YGL198W	vollertcs2004	15263065
YGL200C (u) YIL109C	beldenwj2001	11560939
YIL109C (u) YGL200C	beldenwj2001	11560939
YGL200C (u) YKL096WA	castillonga2011	21680708
YKL096WA (u) YGL200C	castillonga2011	21680708
YGL200C (u) YLR026C	chojh2000|inadomeh2005	16107716|10713261
YLR026C (u) YGL200C	chojh2000|inadomeh2005	16107716|10713261
YGL200C (u) YLR120C	castillonga2011	21680708
YLR120C (u) YGL200C	castillonga2011	21680708
YGL200C (u) YLR208W	beldenwj2001	11560939
YLR208W (u) YGL200C	beldenwj2001	11560939
YGL200C (u) YLR390WA	castillonga2011	21680708
YLR390WA (u) YGL200C	castillonga2011	21680708
YGL200C (u) YML012W	babum2012|krogannj2006|gavinac2006|beldenwj1996|collinssr2007|millerjp2005	16093310|16554755|16429126|8900179|17200106|22940862
YML012W (u) YGL200C	babum2012|krogannj2006|gavinac2006|beldenwj1996|collinssr2007|millerjp2005	16093310|16554755|16429126|8900179|17200106|22940862
YGL200C (u) YMR307W	munizm2000|castillonga2011	10704443|21680708
YMR307W (u) YGL200C	munizm2000|castillonga2011	10704443|21680708
YGL200C (u) YOR016C	collinssr2007|millerjp2005	16093310|17200106
YOR016C (u) YGL200C	collinssr2007|millerjp2005	16093310|17200106
YGL200C (u) YPL218W	kuehnmj1998|beldenwj2001	11560939|9428766
YPL218W (u) YGL200C	kuehnmj1998|beldenwj2001	11560939|9428766
YGL200C (u) YPR181C	beldenwj2001	11560939
YPR181C (u) YGL200C	beldenwj2001	11560939
YGL201C (u) YGR097W	millsonsh2005	15633294
YGR097W (u) YGL201C	millsonsh2005	15633294
YGL201C (u) YGR103W	duyc2002	12110181
YGR103W (u) YGL201C	duyc2002	12110181
YGL201C (u) YIL144W	millsonsh2005	15633294
YIL144W (u) YGL201C	millsonsh2005	15633294
YGL201C (u) YIL150C	merchantam1997|vandeursenf2012|uetzp2000	9154825|22433841|10688190
YIL150C (u) YGL201C	merchantam1997|vandeursenf2012|uetzp2000	9154825|22433841|10688190
