sif_style	Annotation	count	etype	matchType	filenames
YNL221C (u) YAL033W		1.0	ppi		phospho_v4_bgnet_fix
NPR75 (d) YKL126W	Kinase	1.0		Constituent	NaCl_module_edges
YDR333C (u) YGL030W		1.0	ppi		phospho_v4_bgnet_fix
YGL030W (u) YDR333C		1.0	ppi		phospho_v4_bgnet_fix
YGL253W (u) YJR159W		1.0	metabolic_pathway		phospho_v4_bgnet_fix
YJR159W (u) YGL253W		1.0	metabolic_pathway		phospho_v4_bgnet_fix
YLL039C (u) YNL147W		1.0	ppi		phospho_v4_bgnet_fix
YNL147W (u) YLL039C		1.0	ppi		phospho_v4_bgnet_fix
YGR092W (d) YGR223C		1.0	kinase_substrate		phospho_v4_bgnet_fix
HOG1IA30 (d) YPL190C		1.0		Constituent	NaCl_module_edges
YDL013W (u) YJL092W		1.0	ppi		phospho_v4_bgnet_fix
YJL092W (u) YDL013W		1.0	ppi		phospho_v4_bgnet_fix
YNL113W (u) YOR340C		1.0	ppi		phospho_v4_bgnet_fix
YOR340C (u) YNL113W		1.0	ppi		phospho_v4_bgnet_fix
YDR118W (u) YDR260C		1.0	ppi		phospho_v4_bgnet_fix
YDR260C (u) YDR118W		1.0	ppi		phospho_v4_bgnet_fix
YHR165C (u) YLL036C		1.0	ppi		phospho_v4_bgnet_fix
YLL036C (u) YHR165C		1.0	ppi		phospho_v4_bgnet_fix
YHL002W (u) YNR006W		1.0	ppi		phospho_v4_bgnet_fix
YNR006W (u) YHL002W		1.0	ppi		phospho_v4_bgnet_fix
YDR443C (u) YNL288W		1.0	ppi		phospho_v4_bgnet_fix
YNL288W (u) YDR443C		1.0	ppi		phospho_v4_bgnet_fix
NPI61 (d) YPL141C	Kinase	1.0		Constituent	NaCl_module_edges
YKL213C (u) YNR006W		1.0	ppi		phospho_v4_bgnet_fix
YNR006W (u) YKL213C		1.0	ppi		phospho_v4_bgnet_fix
YER087CB (u) YPL094C		1.0	ppi		phospho_v4_bgnet_fix
YPL094C (u) YER087CB		1.0	ppi		phospho_v4_bgnet_fix
YML049C (u) YPL213W		1.0	ppi		phospho_v4_bgnet_fix
YPL213W (u) YML049C		1.0	ppi		phospho_v4_bgnet_fix
YKL101W (d) YGL207W		1.0	kinase_substrate		phospho_v4_bgnet_fix
YOL062C (u) YPL259C		1.0	ppi		phospho_v4_bgnet_fix
YPL259C (u) YOL062C		1.0	ppi		phospho_v4_bgnet_fix
YPL106C (d) NPI65	Yes	1.0		Shared_Interaction	NaCl_module_edges
NPR69 (d) YGR276C	Yes	1.0		Shared_Interaction	NaCl_module_edges
YDR075W (u) YIL153W		1.0	ppi		phospho_v4_bgnet_fix
YIL153W (u) YDR075W		1.0	ppi		phospho_v4_bgnet_fix
YNR023W (u) YPL248C		1.0	ppi		phospho_v4_bgnet_fix
YPL248C (u) YNR023W		1.0	ppi		phospho_v4_bgnet_fix
