Protein1,Protein2,Interaction,Directed
YBR160W,YDR239C,kinase_substrate,1
YBR160W,YDR285W,kinase_substrate,1
YBR160W,YDR293C,kinase_substrate,1
YBR160W,YDR309C,kinase_substrate,1
YBR160W,YDR330W,kinase_substrate,1
YBR160W,YDR348C,kinase_substrate,1
YBR160W,YDR356W,kinase_substrate,1
YBR160W,YDR379W,kinase_substrate,1
YBR160W,YDR389W,kinase_substrate,1
YBR160W,YDR439W,kinase_substrate,1
YBR160W,YDR451C,kinase_substrate,1
YBR160W,YDR501W,kinase_substrate,1
YBR160W,YDR507C,kinase_substrate,1
YBR160W,YEL032W,kinase_substrate,1
YBR160W,YEL061C,kinase_substrate,1
YBR160W,YEL065W,kinase_substrate,1
YBR160W,YER008C,kinase_substrate,1
YBR160W,YER032W,kinase_substrate,1
YBR160W,YER041W,kinase_substrate,1
YBR160W,YER098W,kinase_substrate,1
YBR160W,YER111C,kinase_substrate,1
YBR160W,YER129W,kinase_substrate,1
YBR160W,YER158C,kinase_substrate,1
YBR160W,YER167W,kinase_substrate,1
YBR160W,YFL029C,kinase_substrate,1
YBR160W,YFR027W,kinase_substrate,1
YBR160W,YFR046C,kinase_substrate,1
YBR160W,YGL003C,kinase_substrate,1
YBR160W,YGL075C,kinase_substrate,1
YBR160W,YGL090W,kinase_substrate,1
YBR160W,YGL096W,kinase_substrate,1
YBR160W,YGL097W,kinase_substrate,1
YBR160W,YGL113W,kinase_substrate,1
YBR160W,YGL116W,kinase_substrate,1
YBR160W,YGL124C,kinase_substrate,1
YBR160W,YGL175C,kinase_substrate,1
YBR160W,YGL216W,kinase_substrate,1
YBR160W,YGL235W,kinase_substrate,1
YBR160W,YGR014W,kinase_substrate,1
YBR160W,YGR035C,kinase_substrate,1
YBR160W,YGR092W,kinase_substrate,1
YBR160W,YGR186W,kinase_substrate,1
YBR160W,YGR188C,kinase_substrate,1
YBR160W,YGR221C,kinase_substrate,1
YBR160W,YGR238C,kinase_substrate,1
YBR160W,YGR270W,kinase_substrate,1
YBR160W,YGR276C,kinase_substrate,1
YBR160W,YGR296W,kinase_substrate,1
YBR160W,YHL007C,kinase_substrate,1
YBR160W,YHL022C,kinase_substrate,1
YBR160W,YHL035C,kinase_substrate,1
YBR160W,YHL050C,kinase_substrate,1
YBR160W,YHR098C,kinase_substrate,1
YBR160W,YHR118C,kinase_substrate,1
YBR160W,YHR149C,kinase_substrate,1
YBR160W,YHR158C,kinase_substrate,1
YBR160W,YHR159W,kinase_substrate,1
YBR160W,YHR164C,kinase_substrate,1
YBR160W,YHR166C,kinase_substrate,1
YBR160W,YHR200W,kinase_substrate,1
YBR160W,YHR216W,kinase_substrate,1
YBR160W,YIL031W,kinase_substrate,1
YBR160W,YIL050W,kinase_substrate,1
YBR160W,YIL101C,kinase_substrate,1
YBR160W,YIL106W,kinase_substrate,1
YBR160W,YIL112W,kinase_substrate,1
YBR160W,YIL122W,kinase_substrate,1
YBR160W,YIL135C,kinase_substrate,1
YBR160W,YIL140W,kinase_substrate,1
YBR160W,YIL149C,kinase_substrate,1
YBR160W,YIR023W,kinase_substrate,1
YBR160W,YJL051W,kinase_substrate,1
YBR160W,YJL060W,kinase_substrate,1
YBR160W,YJL076W,kinase_substrate,1
YBR160W,YJL084C,kinase_substrate,1
YBR160W,YJL092W,kinase_substrate,1
YBR160W,YJL111W,kinase_substrate,1
YBR160W,YJL115W,kinase_substrate,1
YBR160W,YJL157C,kinase_substrate,1
YBR160W,YJL194W,kinase_substrate,1
YBR160W,YJR021C,kinase_substrate,1
YBR160W,YJR033C,kinase_substrate,1
YBR160W,YJR054W,kinase_substrate,1
YBR160W,YJR059W,kinase_substrate,1
YBR160W,YJR083C,kinase_substrate,1
YBR160W,YJR091C,kinase_substrate,1
YBR160W,YJR092W,kinase_substrate,1
YBR160W,YJR141W,kinase_substrate,1
YBR160W,YKL022C,kinase_substrate,1
YBR160W,YKL042W,kinase_substrate,1
YBR160W,YKL043W,kinase_substrate,1
YBR160W,YKL048C,kinase_substrate,1
YBR160W,YKL052C,kinase_substrate,1
YBR160W,YKL108W,kinase_substrate,1
YBR160W,YKL116C,kinase_substrate,1
YBR160W,YKL129C,kinase_substrate,1
YBR160W,YKL168C,kinase_substrate,1
YBR160W,YKL185W,kinase_substrate,1
YBR160W,YKR078W,kinase_substrate,1
YBR160W,YKR089C,kinase_substrate,1
YBR160W,YKR090W,kinase_substrate,1
YBR160W,YKR091W,kinase_substrate,1
YBR160W,YKR095W,kinase_substrate,1
YBR160W,YKR097W,kinase_substrate,1
YBR160W,YLL002W,kinase_substrate,1
YBR160W,YLL003W,kinase_substrate,1
YBR160W,YLL008W,kinase_substrate,1
YBR160W,YLL021W,kinase_substrate,1
YBR160W,YLR006C,kinase_substrate,1
YBR160W,YLR009W,kinase_substrate,1
YBR160W,YLR035CA,kinase_substrate,1
YBR160W,YLR045C,kinase_substrate,1
YBR160W,YLR079W,kinase_substrate,1
YBR160W,YLR086W,kinase_substrate,1
YBR160W,YLR096W,kinase_substrate,1
YBR160W,YLR102C,kinase_substrate,1
YBR160W,YLR131C,kinase_substrate,1
YBR160W,YLR182W,kinase_substrate,1
YBR160W,YLR183C,kinase_substrate,1
YBR160W,YLR187W,kinase_substrate,1
YBR160W,YLR190W,kinase_substrate,1
YBR160W,YLR219W,kinase_substrate,1
YBR160W,YLR223C,kinase_substrate,1
YBR160W,YLR238W,kinase_substrate,1
YBR160W,YLR278C,kinase_substrate,1
YBR160W,YLR303W,kinase_substrate,1
YBR160W,YLR307W,kinase_substrate,1
YBR160W,YLR314C,kinase_substrate,1
YBR160W,YLR319C,kinase_substrate,1
YBR160W,YLR394W,kinase_substrate,1
YBR160W,YLR401C,kinase_substrate,1
YBR160W,YLR425W,kinase_substrate,1
YBR160W,YLR430W,kinase_substrate,1
YBR160W,YLR455W,kinase_substrate,1
YBR160W,YLR457C,kinase_substrate,1
YBR160W,YML027W,kinase_substrate,1
YBR160W,YML034W,kinase_substrate,1
YBR160W,YML065W,kinase_substrate,1
YBR160W,YML083C,kinase_substrate,1
YBR160W,YML091C,kinase_substrate,1
YBR160W,YML119W,kinase_substrate,1
YBR160W,YMR001C,kinase_substrate,1
YBR160W,YMR005W,kinase_substrate,1
YBR160W,YMR032W,kinase_substrate,1
YBR160W,YMR036C,kinase_substrate,1
YBR160W,YMR129W,kinase_substrate,1
YBR160W,YMR155W,kinase_substrate,1
YBR160W,YMR165C,kinase_substrate,1
YBR160W,YMR190C,kinase_substrate,1
YBR160W,YMR241W,kinase_substrate,1
YBR160W,YMR273C,kinase_substrate,1
YBR160W,YMR291W,kinase_substrate,1
YBR160W,YNL042W,kinase_substrate,1
YBR160W,YNL058C,kinase_substrate,1
YBR160W,YNL068C,kinase_substrate,1
YBR160W,YNL102W,kinase_substrate,1
YBR160W,YNL152W,kinase_substrate,1
YBR160W,YNL186W,kinase_substrate,1
