#Node1	Node2
YFR014C	YDL006W
YFR014C	YDL143W
YFR014C	YDR001C
YFR014C	YDR019C
YFR014C	YDR099W
YFR014C	YDR113C
YFR014C	YDR169C
YFR014C	YDR312W
YFR014C	YDR328C
YFR014C	YDR335W
YFR014C	YDR354W
YFR014C	YDR486C
YFR014C	YEL017W
YFR014C	YER054C
YFR014C	YER092W
YFR014C	YER128W
YFR014C	YER131W
YFR014C	YER142C
YFR014C	YER143W
YFR014C	YER153C
YFR014C	YER154W
YFR014C	YER157W
YFR014C	YER174C
YFR014C	YER175C
YFR014C	YFL054C
YFR014C	YFR010W
YFR014C	YFR017C
YFR014C	YFR033C
YFR014C	YGL023C
YFR014C	YGL039W
YFR014C	YGL055W
YFR014C	YGL073W
YFR014C	YGL079W
YFR014C	YGL105W
YFR014C	YGL143C
YFR014C	YGL172W
YFR014C	YGL184C
YFR014C	YGL205W
YFR014C	YGL207W
YFR014C	YGL208W
YFR014C	YGR028W
YFR014C	YGR130C
YFR014C	YGR135W
YFR014C	YGR159C
YFR014C	YGR249W
YFR014C	YHR090C
YFR014C	YHR112C
YFR014C	YHR116W
YFR014C	YHR117W
YFR014C	YHR182W
YFR014C	YIL010W
YFR014C	YIL051C
YFR014C	YIL052C
YFR014C	YIL053W
YFR014C	YIL074C
YFR014C	YIL107C
YFR014C	YIL148W
YFR014C	YIL167W
YFR014C	YIR003W
YFR014C	YJL084C
YFR014C	YJL124C
YFR014C	YJL136C
YFR014C	YJL137C
YFR014C	YJL146W
YFR014C	YJL148W
YFR014C	YJL160C
YFR014C	YJL177W
YFR014C	YJL189W
YFR014C	YJR001W
YFR014C	YJR072C
YFR014C	YJR076C
YFR014C	YKL042W
YFR014C	YKL064W
YFR014C	YKL127W
YFR014C	YKL128C
YFR014C	YKL149C
YFR014C	YKL151C
YFR014C	YKR009C
YFR014C	YKR071C
YFR014C	YKR074W
YFR014C	YKR092C
YFR014C	YKR094C
YFR014C	YLL024C
YFR014C	YLL028W
YFR014C	YLL033W
YFR014C	YLL043W
YFR014C	YLR030W
YFR014C	YLR059C
YFR014C	YLR060W
YFR014C	YLR102C
YFR014C	YLR215C
YFR014C	YLR259C
YFR014C	YLR265C
YFR014C	YLR274W
YFR014C	YLR276C
YFR014C	YLR307W
YFR014C	YLR319C
YFR014C	YLR437C
YFR014C	YLR451W
YFR014C	YLR457C
YFR014C	YML030W
YFR014C	YML048W
YFR014C	YML062C
