#pid	conf	gene_ids	eids	pathfinders	sif_edges
p739	0.899000	YFR028C|PDE2ID42|YJL128C|YJR059W|CDC14RD19	edge14811|edge5429|edge16569|edge15351	paths	YFR028C d PDE2ID42|PDE2ID42 d YJL128C|YJL128C d YJR059W|YJR059W d CDC14RD19
p740	0.909000	YLR113W|YER118C|HOG1ID29|YLR248W|HOG1ID31	edge25020|edge16737|edge21823|edge7061	paths	YLR113W d YER118C|YER118C d HOG1ID29|HOG1ID29 d YLR248W|YLR248W d HOG1ID31
p741	0.827000	YLR113W|YDL159W|YGR240C|HOG1ID27	edge26474|edge2053|edge10558	paths	YLR113W u YDL159W|YDL159W u YGR240C|YGR240C d HOG1ID27
p742	0.921000	YFR028C|NPR74|YPL020C|YJR076C|CDC14RD23	edge3342|edge23261|edge17140|edge18074	paths	YFR028C d NPR74|NPR74 d YPL020C|YPL020C u YJR076C|YJR076C d CDC14RD23
p743	0.003000	YLR113W|PDE2ID42|YBL085W|YFR028C|HOG1RD38	edge17446|edge27224|edge6660|edge26845	paths	YLR113W d PDE2ID42|PDE2ID42 d YBL085W|YBL085W u YFR028C|YFR028C d HOG1RD38
p744	0.907000	YLR113W|YLR248W|NPR76|YJR059W|HOG1RD33	edge12768|edge15247|edge21920|edge17453	paths	YLR113W d YLR248W|YLR248W d NPR76|NPR76 d YJR059W|YJR059W d HOG1RD33
p745	0.862000	YFR028C|YGL003C|YKL101W|CDC14RD15	edge4187|edge15881|edge8525	paths	YFR028C d YGL003C|YGL003C d YKL101W|YKL101W d CDC14RD15
p746	0.961000	YLR113W|YKL101W|HOG1RD35	edge13280|edge7890	paths	YLR113W d YKL101W|YKL101W d HOG1RD35
p747	0.003000	YLR113W|PDE2ID42|YBL085W|YFR028C|HOG1RD33	edge17446|edge27224|edge6660|edge9388	paths	YLR113W d PDE2ID42|PDE2ID42 d YBL085W|YBL085W u YFR028C|YFR028C d HOG1RD33
p748	0.898000	YFR028C|HOG1RD33|YJL020C|CDC14ID7|YJR059W|CDC14RD20	edge9388|edge818|edge9488|edge12432|edge3077	paths	YFR028C d HOG1RD33|HOG1RD33 d YJL020C|YJL020C d CDC14ID7|CDC14ID7 d YJR059W|YJR059W d CDC14RD20
p749	0.842000	YLR113W|NPR66|YDR439W|YFR028C|HOG1RD33	edge22071|edge7518|edge22883|edge9388	paths	YLR113W d NPR66|NPR66 d YDR439W|YDR439W u YFR028C|YFR028C d HOG1RD33
p750	0.893000	YLR113W|NPR66|YNL243W|NPI61|YJL020C|HOG1ID29	edge22071|edge8877|edge24726|edge4117|edge25051	paths	YLR113W d NPR66|NPR66 d YNL243W|YNL243W d NPI61|NPI61 d YJL020C|YJL020C d HOG1ID29
p751	0.907000	YFR028C|PDE2ID42|YLR248W|NPR76|YJR059W|CDC14RD19	edge14811|edge5702|edge15247|edge21920|edge15351	paths	YFR028C d PDE2ID42|PDE2ID42 d YLR248W|YLR248W d NPR76|NPR76 d YJR059W|YJR059W d CDC14RD19
p752	0.842000	YLR113W|NPR66|YDR439W|YFR028C|HOG1RD38	edge22071|edge7518|edge22883|edge26845	paths	YLR113W d NPR66|NPR66 d YDR439W|YDR439W u YFR028C|YFR028C d HOG1RD38
p753	0.915000	YFR028C|YIL159W|NPR67|YHL007C|CDC14RD15	edge184|edge5415|edge6326|edge11434	paths	YFR028C u YIL159W|YIL159W d NPR67|NPR67 d YHL007C|YHL007C d CDC14RD15
p754	0.823000	YFR028C|YJL095W|YHR186C|CDC14RD20	edge17963|edge24560|edge3317	paths	YFR028C u YJL095W|YJL095W u YHR186C|YHR186C d CDC14RD20
p755	0.909000	YLR113W|YER118C|HOG1ID29|YLR248W|HOG1ID25	edge25020|edge16737|edge21823|edge9905	paths	YLR113W d YER118C|YER118C d HOG1ID29|HOG1ID29 d YLR248W|YLR248W d HOG1ID25
p756	0.915000	YFR028C|YIL159W|NPR67|YHL007C|CDC14RD19	edge184|edge5415|edge6326|edge17303	paths	YFR028C u YIL159W|YIL159W d NPR67|NPR67 d YHL007C|YHL007C d CDC14RD19
p757	0.906000	YFR028C|HOG1RD38|YBL085W|NPR69|YDR507C|CDC14RD23	edge26845|edge17052|edge15985|edge22074|edge23009	paths	YFR028C d HOG1RD38|HOG1RD38 d YBL085W|YBL085W d NPR69|NPR69 d YDR507C|YDR507C d CDC14RD23
p758	0.955000	YFR028C|YLR096W|CDC14RD21	edge9729|edge4527	paths	YFR028C u YLR096W|YLR096W d CDC14RD21
p759	0.910000	YFR028C|NPR66|YBR172C|YKL074C|CDC14ID9	edge20541|edge22729|edge3045|edge25465	paths	YFR028C d NPR66|NPR66 d YBR172C|YBR172C u YKL074C|YKL074C d CDC14ID9
p760	0.898000	YFR028C|HOG1RD33|YJL020C|CDC14ID7|YJR059W|CDC14RD19	edge9388|edge818|edge9488|edge12432|edge15351	paths	YFR028C d HOG1RD33|HOG1RD33 d YJL020C|YJL020C d CDC14ID7|CDC14ID7 d YJR059W|YJR059W d CDC14RD19
p761	0.043000	YFR028C|YNL271C|YLR229C|CDC14RD23	edge25716|edge23509|edge14205	paths	YFR028C u YNL271C|YNL271C u YLR229C|YLR229C d CDC14RD23
p762	0.904000	YFR028C|NPR74|YPL020C|NPR71|YJL020C|CDC14ID7	edge3342|edge23261|edge2112|edge18416|edge9488	paths	YFR028C d NPR74|NPR74 d YPL020C|YPL020C d NPR71|NPR71 d YJL020C|YJL020C d CDC14ID7
p763	0.907000	YFR028C|PDE2ID42|YLR248W|NPR76|YJR059W|CDC14RD20	edge14811|edge5702|edge15247|edge21920|edge3077	paths	YFR028C d PDE2ID42|PDE2ID42 d YLR248W|YLR248W d NPR76|NPR76 d YJR059W|YJR059W d CDC14RD20
p764	0.003000	YLR113W|PDE2RA52|YIL038C|YPL203W|HOG1RD33	edge26596|edge13772|edge2167|edge24524	paths	YLR113W d PDE2RA52|PDE2RA52 d YIL038C|YIL038C u YPL203W|YPL203W d HOG1RD33
p765	0.900000	YFR028C|YOR061W|NPI61|YJL080C|CDC14RD23	edge6481|edge11351|edge11666|edge10647	paths	YFR028C u YOR061W|YOR061W d NPI61|NPI61 d YJL080C|YJL080C d CDC14RD23
p766	0.081000	YLR113W|YDL159W|YFR028C|HOG1RD38	edge26474|edge15696|edge26845	paths	YLR113W u YDL159W|YDL159W u YFR028C|YFR028C d HOG1RD38
p767	0.081000	YLR113W|YDL159W|YFR028C|HOG1RD33	edge26474|edge15696|edge9388	paths	YLR113W u YDL159W|YDL159W u YFR028C|YFR028C d HOG1RD33
p768	0.814000	YFR028C|CDC14RD23|YER155C|YOR061W|CDC14RD20	edge5259|edge13965|edge26959|edge19864	paths	YFR028C d CDC14RD23|CDC14RD23 d YER155C|YER155C u YOR061W|YOR061W d CDC14RD20
p769	0.573000	YFR028C|YJR066W|YKL161C|CDC14RD20	edge3683|edge6009|edge1191	paths	YFR028C u YJR066W|YJR066W u YKL161C|YKL161C d CDC14RD20
p770	0.866000	YLR113W|YDL017W|YPL153C|HOG1RD33	edge23234|edge14882|edge17867	paths	YLR113W u YDL017W|YDL017W d YPL153C|YPL153C d HOG1RD33
p771	0.906000	YLR113W|NPR66|YHR205W|YMR196W|HOG1ID29	edge22071|edge13453|edge26249|edge11030	paths	YLR113W d NPR66|NPR66 d YHR205W|YHR205W u YMR196W|YMR196W d HOG1ID29
p772	0.950000	YLR113W|YER118C|HOG1ID29	edge25020|edge16737	paths	YLR113W d YER118C|YER118C d HOG1ID29
p773	1.000000	YFR028C|CDC14RD23	edge5259	paths	YFR028C d CDC14RD23
p774	0.908000	YLR113W|YDL017W|NPR66|YHR082C|HOG1ID29	edge23234|edge6051|edge16635|edge11764	paths	YLR113W u YDL017W|YDL017W d NPR66|NPR66 d YHR082C|YHR082C d HOG1ID29
p775	0.893000	YFR028C|NPR66|YNL243W|NPI65|YHL007C|CDC14RD15	edge20541|edge8877|edge3476|edge7987|edge11434	paths	YFR028C d NPR66|NPR66 d YNL243W|YNL243W d NPI65|NPI65 d YHL007C|YHL007C d CDC14RD15
p776	0.909000	YFR028C|YNL161W|NPI63|YGR162W|CDC14ID9	edge10053|edge20087|edge12098|edge11108	paths	YFR028C u YNL161W|YNL161W d NPI63|NPI63 d YGR162W|YGR162W d CDC14ID9
p777	0.893000	YFR028C|NPR66|YNL243W|NPI65|YHL007C|CDC14RD19	edge20541|edge8877|edge3476|edge7987|edge17303	paths	YFR028C d NPR66|NPR66 d YNL243W|YNL243W d NPI65|NPI65 d YHL007C|YHL007C d CDC14RD19
